col0,col1,col2
Onderwierum,1968-01-01,242.0
Ennemaborgh,1967-01-01,73.0
Lutjeloosche Mede,1930-01-01,48.0
Braampolder,1905-01-01,20.0
Over de Dijk,1963-01-01,1522.0
Kabeling 5,1967-01-01,38.0
Kanaalweg,1964-01-01,1300.0
Borger- en Tripscompagnie,1988-01-01,2510.0
De Valgen en de Putten,1926-01-01,94.0
Rotteveen,t816212079,12.5
Zuidhorner Zuiderpolder,1978-01-01,257.0
Groot-Mijdrecht,1976-01-01,1959.0
Reest en Wieden,2016-01-01,137500.0
Hebrecht,1947-01-01,614.0
Nijlandsterpolder,1978-01-01,138.0
De Eeker,1967-01-01,114.0
Oxwerdermolenpolder,1975-01-01,120.0
Van der Veenpolder,1971-01-01,48.0
Het Noorden,1968-01-01,133.0
Munte,1967-01-01,2350.0
