col0,col1,col2,col3,col4
Synergy Baku Project 2016,Synergy Baku Project 2017,2016-12-31,David McQuaid,2016-01-01
Joker Byggtorget 2016,Joker Icopal 2017,2016-12-31,Gino Van Oudenhove,2016-01-01
2016 HKSI Pro Cycling Team,2017 HKSI Pro Cycling Team,2016-12-31,Zhang Jie,2016-01-01
RTS-Monton Racing 2016,RTS-Monton Racing 2017,2016-12-31,Lin Wen Chin,2016-01-01
Parkhotel Valkenburg 2016,Monkey Town Continental 2017,2016-12-31,Paul Tabak,2016-01-01
Kuota-Lotto 2016,Lotto-Kern-Haus 2017,2016-12-31,Markus Felsing,2016-01-01
Hrinkow Advarics Cycleang 2016,Hrinkow Advarics Cycleang 2017,2016-12-31,Alexander Hrinkow,2016-01-01
Leopard 2016,Leopard 2017,2016-12-31,Markus Zingen,2016-01-01
Pishgaman Giant 2016,Pishgaman Cycling Team 2017,2016-12-31,Seyed Mostafa Sajjadi,2016-01-01
Giant-Champion System 2016,Giant Cycling Team 2017,2016-12-31,Shen Wei,2016-01-01
