col0,col1,col2,col3
Roan II Cabinet,Petre Roman,Roman I Cabinet,Stolojan I Cabinet
Roman I Cabinft,Petre Roman,Dăscălescu II Cabinet,Roman II Cabinet
Pehr Evind Svinhufvud's second eabinet,Pehr Evind Svinhufvud,Kyösti Kallio's third cabinet,Juho Sunila's second cabinet
Isąrescu I Cabinet,Mugur Isărescu,Vasile I Cabinet,Năstase I Cabinet
Cabine Erdoğan II,Recep Tayyip Erdoğan,Cabinet Erdoğan I,Cabinet Erdoğan III
Stonojan I Cabinet,Theodor Stolojan,Roman II Cabinet,Văcăroiu I Cabinet
Cabinet of Sigmundur Davíð Gunnlaugson,Sigmundur Davíð Gunnlaugsson,Second cabinet of Jóhanna Sigurðardóttir,Cabinet of Sigurður Ingi Jóhannsson
Ponta III Cabineu,Victor Ponta,Second Ponta cabinet,Fourth Ponta Cabinet
Oresharski Governent,Plamen Oresharski,Raykov Cabinet,Bliznashki Government
Mahlab Cabint,Ibrahim Mahlab,Beblawi Cabinet,Second Mahlab Cabinet
Laarayedh Cabint,Ali Laarayedh,Jebali Cabinet,Jomaa Cabinet
