col0,col1,col2,col3,col4,col5,col6
Isărescu I Cabinet,Năstase I Cabinet,2000-01-01,1999-01-01,Emil Constantinescu,1999-01-01,Cabinet of Romania
H. D. Deve Gowda Ministry,I. K. Gujral Ministry,1997-01-01,1996-01-01,Shankar Dayal Sharma,1996-01-01,cabinet
Premadasa cabinet,Wijetunga cabinet,1989-01-01,1989-01-01,Ranasinghe Premadasa,1989-01-01,cabinet
Government of the 8th Dáil,Government of the 9th Dáil,1937-01-01,1933-01-01,George V,1933-01-01,cabinet
V. P. Singh Ministry,Chandra Shekhar Ministry,1990-01-01,1989-01-01,R. Venkataraman,1989-01-01,cabinet
Third Indira Gandhi Ministry,Rajiv Gandhi Ministry,1984-01-01,1980-01-01,Neelam Sanjiva Reddy,1980-01-01,cabinet
Rajiv Gandhi Ministry,V. P. Singh Ministry,1989-01-01,1984-01-01,Zail Singh,1984-01-01,cabinet
P. V. Narasimha Rao Ministry,First Vajpayee Ministry,1996-01-01,1991-01-01,R. Venkataraman,1991-01-01,cabinet
Isărescu I Cabinet,Năstase I Cabinet,2000-01-01,1999-01-01,Emil Constantinescu,1999-01-01,cabinet
Government of the 5th Dáil,Government of the 6th Dáil,1927-01-01,1927-01-01,George V,1927-01-01,cabinet
Government of the 4th Dáil,Government of the 5th Dáil,1927-06-23,1923-09-19,George V,1923-01-01,cabinet
Government of the 3rd Dáil,Government of the 4th Dáil,1923-01-01,1922-01-01,George V,1922-01-01,cabinet
