col0,col1,col2,col3,col4,col5,col6
2016 Team3M season,3M 2015,Bernard Moerman,Belgium,Bob Schoonbroodt,road bicycle racing,Bernard Moerman
2016 Team Ringeriks-Kraft season,2015 Team Ringeriks-Kraft season,Per Haukedalen,Norway,Jonas Abrahamsen,road bicycle racing,Lars Holm
Sparebanken Sør 2016,Sparebanken Sør 2015,Kjell Karlsen,Norway,Andreas Vangstad,road bicycle racing,Atle Kvålsvoll
Crelan-Vastgoedservice 2016,Vastgoedservice-Golden Palace 2015,Geert Vanhoof,Belgium,David Boucher,road bicycle racing,Niels Albert
Avanti IsoWhey Sports 2016,Avanti Racing 2015,Andrew Christie-Johnston,Australia,Patrick Lane,road bicycle racing,Andrew Christie-Johnston
Hrinkow Advarics Cycleang 2016,Hrinkow Advarics Cycleang 2015,Alexander Hrinkow,Austria,Andreas Graf,road bicycle racing,Alexander Hrinkow
Sindicato de Empleados Públicos de San Juan 2017,Sindicato de Empleados Públicos de San Juan 2016,José Alberto Díaz,Argentina,Andrei Sartassov,road bicycle racing,José Alberto Díaz
Burgos BH 2017,Burgos BH 2016,Julio Andrés Izquierdo,Spain,David Belda,road bicycle racing,Julio Andrés Izquierdo
HP BTP-Auber 93 2016,Auber 93 2015,Stéphane Javalet,France,Maxime Renault,road bicycle racing,Stephan Gaudry
Matrix Powertag 2016,Matrix Powertag 2015,Masahiro Yasuhara,Japan,José Toribio Alcolea,road bicycle racing,Kojiro Nakagawa
