col0,col1,col2,col3
Agria,Foreign corporation registered in Norway,Mo i Rana,2004-01-01
kmu health insurance,foundation,Winterthur,1836-01-01
Winterthur Group,Aktiengesellschaft,Winterthur,1875-01-01
China Taiping Insurance Holdings,public limited company,Hong Kong,2000-01-01
Alte Leipziger – Hallesche,mutual insurance,Oberursel,1819-01-01
Credit Mutuel,credit union,Strasbourg,1885-01-01
Suva,Public law institute,Lucerne,1912-01-01
Arabian Shield Cooperative Insurance Company,joint-stock company,Riyadh,2007-01-01
Barmenia,joint-stock company,Wuppertal,1904-01-01
Fondiaria-Sai,joint-stock company,Florence,2002-12-31
UnipolSai,S.p.A.,Bologna,2014-01-06
Zurich Gruppe Deutschland,Aktiengesellschaft,Frankfurt am Main,1875-01-01
