col0,col1,col2,col3
Bremenfly,Germany,Bremen Airport,2008-01-01
Costa Rica Skies,Costa Rica,Juan Santamaría International Airport,2007-12-22
Grenzland Air Service,Germany,Stadtlohn-Vreden Airport,1969-01-01
Comfort Air,Germany,Munich-Riem Airport,1978-01-01
Bavaria Germanair,Germany,Munich-Riem Airport,1977-01-01
B-Air Charter,Germany,Mannheim City Airport,2009-01-01
Aero Business Charter,Germany,Mannheim City Airport,1997-01-01
I-Fly,Russia,Vnukovo International Airport,2009-01-01
Searca,Colombia,El Dorado International Airport,1992-01-01
Asia Atlantic Airlines,Thailand,Suvarnabhumi Airport,2012-01-01
Abacus Air,Germany,Hannover Airport,1974-01-01
TUI fly Deutschland,Germany,Hannover Airport,1972-01-01
B-Air Charter,Germany,Stuttgart Airport,2009-01-01
Stuttgarter Flugdienst,Germany,Stuttgart Airport,1956-01-01
