col0,col1,col2,col3
Campion Cycle Company,historical motorcycle manufacturer,automotive industry,Nottingham
Boge Kompressoren,historical motorcycle manufacturer,mechanical engineering,Bielefeld
Black Prince Motors Ltd.,historical motorcycle manufacturer,automotive industry,Barnard Castle
Durkopp Adler,historical motorcycle manufacturer,automotive industry,Bielefeld
Kreidler,historical motorcycle manufacturer,automotive engineering,Kornwestheim
Pawi,historical motorcycle manufacturer,automotive industry,Berlin
Riley Motor,historical motorcycle manufacturer,automotive industry,Coventry
Benjamin,historical motorcycle manufacturer,automotive industry,Asnières-sur-Seine
Dux Factory,historical motorcycle manufacturer,mechanical engineering,Moscow
"Ascot Motor & Manufacturing Company, Limited",historical motorcycle manufacturer,automotive industry,Letchworth Garden City
Miele,historical motorcycle manufacturer,home appliance industry,Gütersloh
Arimofa,historical motorcycle manufacturer,automotive industry,Plauen
Magna PT,historical motorcycle manufacturer,automotive industry,Untergruppenbach
Hirth,historical motorcycle manufacturer,aerospace,Benningen am Neckar
