col0,col1,col2,col3,col4,col5
Roman Catholic Archdiocese of Messina-Lipari-Santa Lucia del Mela,Messina,1521,Giovanni Accolla,Roman Catholic Diocese of Acireale,Catholicism
Roman Catholic Archdiocese of Montes Claros,Montes Claros,45520,João Justino de Medeiros Silva,Roman Catholic Archdiocese of Diamantina,Catholicism
Roman Catholic Archdiocese of Oristano,Oristano,3112,Roberto Carboni,Roman Catholic Diocese of Lanusei,Catholicism
Roman Catholic Archdiocese of Niterói,Niterói,4728,José Francisco Rezende Dias,Roman Catholic Archdiocese of São Sebastião do Rio de Janeiro,Catholicism
Roman Catholic Archdiocese of Mérida-Badajoz,Badajoz,17405,Celso Morga Iruzubieta,Roman Catholic Diocese of Coria-Cáceres,Catholicism
Roman Catholic Archdiocese of Olomouc,Olomouc,10018,Jan Graubner,Roman Catholic Diocese of Žilina,Catholicism
Roman Catholic Archdiocese of Popayán,Popayán,17308,Luis José Rueda Aparicio,Apostolic Vicariate of Guapi,Catholic Church
Roman Catholic Archdiocese of Madurai,Madurai,8910,Antony Pappusamy,Roman Catholic Diocese of Tiruchirapalli,Catholic Church
Roman Catholic Archdiocese of Port Moresby,Port Moresby,12244,John Ribat,Roman Catholic Diocese of Cairns,Catholic Church
Roman Catholic Archdiocese of Perth,Perth,471118,Timothy Costelloe,Roman Catholic Diocese of Port Pirie,Catholic Church
Roman Catholic Archdiocese of Oviedo,Oviedo,10565,Jesús Sanz Montes,Roman Catholic Diocese of Astorga,Catholicism
Roman Catholic Archdiocese of Palmas,Palmas,34007,Pedro Brito Guimarães,Roman Catholic Diocese of Barreiras,Catholicism
Roman Catholic Archdiocese of Palermo,Palermo,1366,Corrado Lorefice,Roman Catholic Diocese of Cefalù,Catholicism
