col0,col1,col2
La Bionda,Carmelo La Bionda,disco
Farrelly brothers,Bobby Farrelly,comedy
Inga and Anush Arshakyan,Inga Arshakyan,pop music
The Cheeky Girls,Monica Irimia,pop music
Bolland & Bolland,Rob Bolland,pop music
Mary-Kate and Ashley Olsen,Mary-Kate Olsen,pop music
Sandy & Junior,Sandy,pop music
Arkady and Boris Strugatsky,Boris Strugatsky,science fiction
Bass Brothers,Jeff Bass,rapping
Kalyanji–Anandji,Anandji Virji Shah,Filmi
Paola e Chiara,Paola,popular music
Me & My,Susanne Georgi,Eurodance
Mel and Kim,Kim Appleby,dance-pop
Albert and David Maysles,David Maysles,documentary film
Hager Twins,Jim Hager,country music
Mary Mary,Erica Campbell,rhythm and blues
The Brothers Johnson,Louis Johnson,rhythm and blues
Samanda,Amanda Louise Marchant,pop music
Jesse & Joy,Joy Huerta,pop music
J.-H. Rosny,J.-H. Rosny aîné,science fiction
