col0,col1,col2,col3,col4,col5
Freestyle skiing at the 2014 Winter Olympics,International Olympic Committee,Rosa Khutor Extreme Park,2014-02-21,Freestyle skiing at the 2010 Winter Olympics,Freestyle skiing at the 2014 Winter Olympics – Qualification
Rowing at the 2004 Summer Olympics,International Olympic Committee,Schinias Olympic Rowing and Canoeing Centre,2004-08-22,Rowing at the 2000 Summer Olympics,Rowing at the 2004 Summer Olympics – Men's double sculls
triathlon at the 2016 Summer Olympics,International Olympic Committee,Fort Copacabana,2016-08-20,Triathlon at the 2012 Summer Olympics,Triathlon at the 2016 Summer Olympics – Men's
Athletics at the 2016 Summer Olympics,International Olympic Committee,Pontal,2016-08-21,Athletics at the 2012 Summer Olympics,Athletics at the 2016 Summer Olympics – Men's marathon
taekwondo at the 2016 Summer Olympics,International Olympic Committee,Carioca Arena 3,2016-08-20,Taekwondo at the 2012 Summer Olympics,Taekwondo at the 2016 Summer Olympics – Women's 67 kg
Modern pentathlon at the 2016 Summer Olympics,International Olympic Committee,Deodoro Arena,2016-08-20,Modern pentathlon at the 2012 Summer Olympics,Modern pentathlon at the 2016 Summer Olympics – Women's
table tennis at the 2016 Summer Olympics,International Olympic Committee,Riocentro,2016-08-17,Table tennis at the 2012 Summer Olympics,Table tennis at the 2016 Summer Olympics – Men's singles
swimming at the 2016 Summer Olympics,International Olympic Committee,"Olympic Aquatics Stadium, Rio de Janeiro",2016-08-16,Swimming at the 2012 Summer Olympics,Swimming at the 2016 Summer Olympics – Women's 800 metre freestyle
Cycling at the 2016 Summer Olympics,Union Cycliste Internationale,Fort Copacabana,2016-08-21,Cycling at the 2012 Summer Olympics,Cycling at the 2016 Summer Olympics – Men's individual road race
Rowing at the 2016 Summer Olympics,International Olympic Committee,Lagoa Rodrigo de Freitas,2016-08-13,Rowing at the 2012 Summer Olympics,Rowing at the 2016 Summer Olympics – Lightweight women's double sculls
Badminton at the 2016 Summer Olympics,Badminton World Federation,Riocentro,2016-08-20,Badminton at the 2012 Summer Olympics,Badminton at the 2016 Summer Olympics – Qualification
Rowing at the 1952 Summer Olympics,International Olympic Committee,Meilahti,1952-07-23,Rowing at the 1948 Summer Olympics,Rowing at the 1952 Summer Olympics – Men's eight
Rowing at the 1996 Summer Olympics,International Olympic Committee,Lake Lanier,1996-07-28,Rowing at the 1992 Summer Olympics,Rowing at the 1996 Summer Olympics – Men's eight
Rowing at the 1964 Summer Olympics,International Olympic Committee,Toda Rowing Course,1964-10-15,Rowing at the 1960 Summer Olympics,Rowing at the 1964 Summer Olympics – Men's coxed four
Rowing at the 1904 Summer Olympics,International Olympic Committee,Creve Coeur Lake Memorial Park,1904-07-30,Rowing at the 1900 Summer Olympics,Rowing at the 1904 Summer Olympics – Men's coxless four
