col0,col1,col2,col3,col4,col5
Newton County,Newton County,Arkansas,1842-12-14,Newton County,Carroll County
Miller County,Miller County,Arkansas,1874-12-22,Miller County,Lafayette County
Polk County,Polk County,Arkansas,1844-11-30,Polk County,Scott County
Logan County,Logan County,Arkansas,1871-03-22,Logan County,Scott County
Calhoun County,Calhoun County,Arkansas,1850-12-06,Calhoun County,Union County
Logan County,Logan County,Arkansas,1871-03-22,Logan County,Franklin County
Newton County,Newton County,Arkansas,1842-12-14,Newton County,Johnson County
Logan County,Logan County,Arkansas,1871-03-22,Logan County,Johnson County
Newton County,Newton County,Arkansas,1842-12-14,Newton County,Johnson County
Sevier County,Sevier County,Arkansas,1828-10-17,Sevier County,Howard County
Polk County,Polk County,Arkansas,1844-11-30,Polk County,Howard County
Sevier County,Sevier County,Arkansas,1828-10-17,Sevier County,Howard County
Newton County,Newton County,Arkansas,1842-12-14,Newton County,Boone County
