col0,col1,col2,col3
"The Blue Coat""School",1708/01/01,Bryan Blundell,Liverpool
Loret College,1851/01/01,Sisters of Loreto,Manchester
Reading Schoom,2011/02/01,Henry VII,Reading
Hackey Downs School,1876/01/01,Worshipful Company of Grocers,Lower Clapton
King Edward VI Five Ways Schoo,1883/01/01,Edward VI of England,Bartley Green
"Queen Flizabeth's Grammar School, Horncastle",2012/09/01,"Edward Clinton, 1st Earl of Lincoln",Horncastle
King Edard VI Grammar School,1201/01/01,Edward VI of England,Louth
Fitzmaurice GrammarSchool,1897/01/01,"Edmond Fitzmaurice, 1st Baron Fitzmaurice",Bradford-on-Avon
The Henrietta Banett School,1911/01/01,Henrietta Barnett,London Borough of Barnet
"King Edward VI Tchool, Stratford-upon-Avon",1201/01/01,Edward VI of England,Warwickshire
Habetdashers' Adams,1656/01/01,William Adams,Newport
