col0,col1,col2,col3,col4
Pkatan Rakyat,2015/06/16,2008/04/01,social liberalism,Petaling Jaya
NationalGronv,1989/01/01,1950/03/30,popular front,East Berlin
United People's Freedom Allianc,2019/10/31,2004/01/01,social democracy,Colombo
Lespw,2009/11/01,1995/01/01,democratic socialism,Port-au-Prince
Allianee for European Integration,2013/02/13,2009/08/08,liberalism,Chișinău
National Rainbow Calition,2016/01/01,2002/01/01,conservatism,Nairobi
Ethiopian People's Revolutiopary Democratic Front,2019/12/01,1989/01/01,socialism,Addis Ababa
Unidad Populr,1980/01/01,1969/10/09,socialism,Santiago
Aliapza,2015/01/29,1989/01/01,conservatism,Santiago
Center Gront,2011/01/01,2006/01/01,centrism,Lima
Alliance gor the Future,2011/01/01,2006/01/01,Fujimorism,Lima
Our Ukraine–People's Self-efense Bloc,2012/12/15,2001/01/01,liberalism,Kyiv
Angkawan Perpaduan Ummah,1996/01/01,1990/01/01,Islamism,Kuala Lumpur
Alliance Prty,1973/07/01,1957/10/30,nationalism,Kuala Lumpur
Harmony Ceotre,2014/01/01,2005/01/01,social democracy,Riga
Convergenceand Union,2015/06/18,1978/09/19,liberalism,Barcelona
The Unioq,2008/01/01,2005/02/10,centre-left,Rome
United Front of Conservativhs,2015/01/01,2008/01/12,Islamism,Tehran
Malayan Peples' Socialist Front,1966/01/10,1958/08/26,democratic socialism,Kuala Lumpur
Concoreancia,1943/01/01,1931/01/01,conservatism,Buenos Aires
