col0,col1,col2
Zimbabwe national rugby union team,Canterbury of New Zealand,Zimbabwe Rugby Union
Bermuda national rugby union team,Adidas,Bermuda Rugby
Russia national rugby union team,Canterbury of New Zealand,Rugby Union of Russia
Norway national rugby union team,Macron,Norwegian Rugby Union
South Korea national rugby union team,Under Armour,Korea Rugby Union
Ukraine national rugby union team,Erreà,National Rugby Federation of Ukraine
Tonga national rugby union team,Mizuno Corporation,Tonga Rugby Union
Samoa national rugby union team,BLK,Samoa Rugby Union
Netherlands national rugby union team,Canterbury of New Zealand,Rugby Nederland
Fiji national rugby union team,International Sports Clothing,Fiji Rugby Union
Brazil national rugby union team,Topper,Brazilian Rugby Confederation
Romania national rugby union team,Mizuno Corporation,Romanian Rugby Federation
Wales national rugby union team,Under Armour,Welsh Rugby Union
Namibia national rugby union team,Mizuno Corporation,Namibia Rugby Union
New Zealand national rugby union team,Adidas,New Zealand Rugby
Ireland national rugby union team,Canterbury of New Zealand,Irish Rugby Football Union
South Africa national rugby union team,ASICS,South African Rugby Union
France national rugby union team,Le Coq Sportif,French Rugby Federation
Sweden national rugby union team,BLK,Swedish Rugby Union
Spain national rugby union team,Joma,Spanish Rugby Federation
