col0,col1,col2,col3,col4
Tokyopop,enterprise,1997-01-01,Stu Levy,Germany
Dell Comics,business,1929-01-01,George T. Delacorte Jr.,United States of America
Hakusensha,business,1973-01-01,Shueisha,Japan
Tokyopop,business,1997-01-01,Stu Levy,Germany
Marvel Comics,business,1939-01-01,Martin Goodman,United States of America
Opera Graphica,publisher,1998-01-01,Franco de Rosa,Brazil
EBAL,publisher,1945-05-18,Adolfo Aizen,Brazil
Boom! Studios,publisher,2005-01-01,Ross Richie,United States of America
Dark Horse Comics,publisher,1986-01-01,Mike Richardson,United States of America
Verbrecher Verlag,art book publisher,1995-01-01,Jörg Sundermeier,Germany
Record Publishing House,book publishing company,1940-01-01,Alfredo Machado,Brazil
Fawcett Publications,book publishing company,1919-01-01,Wilford Fawcett,United States of America
"DC Comics, Inc.",book publishing company,1934-01-01,Malcolm Wheeler-Nicholson,United States of America
Victor Gollancz Ltd,book publishing company,1927-01-01,Victor Gollancz,United Kingdom
Delcourt,book publishing company,1986-01-01,Guy Delcourt,France
