col0,col1,col2,col3,col4,col5,col6,col7
Nick Cave and the Bad Seeds,Thomas Wydler,Australia,alternative rock,Mute Records,rock band,Melbourne,1983-01-01
Bad Company,Paul Rodgers,United Kingdom,blues rock,Island Records,rock band,Westminster,1973-01-01
Journey,Deen Castronovo,United States of America,progressive rock,Columbia Records,rock band,San Francisco,1973-01-01
Broken Bells,James Mercer,United States of America,alternative rock,Columbia Records,musical group,Los Angeles,2009-01-01
The Dead Weather,Alison Mosshart,United States of America,alternative rock,Third Man Records,musical group,Nashville,2009-01-01
Electronic,Bernard Sumner,United Kingdom,alternative dance,Factory Records,musical group,Manchester,1989-01-01
Nick Cave and the Bad Seeds,Thomas Wydler,Australia,alternative rock,Mute Records,supergroup,Melbourne,1983-01-01
Broken Bells,James Mercer,United States of America,alternative rock,Columbia Records,supergroup,Los Angeles,2009-01-01
Bad Company,Paul Rodgers,United Kingdom,blues rock,Island Records,supergroup,Westminster,1973-01-01
The Dead Weather,Alison Mosshart,United States of America,alternative rock,Third Man Records,supergroup,Nashville,2009-01-01
Electronic,Bernard Sumner,United Kingdom,alternative dance,Factory Records,supergroup,Manchester,1989-01-01
Journey,Steve Perry,United States of America,rock music,Columbia Records,rock band,San Francisco,1973-01-01
Mad Season,Layne Staley,United States of America,grunge,Columbia Records,rock band,Seattle,1994-01-01
"Emerson, Lake & Palmer",Carl Palmer,United Kingdom,symphonic rock,Polydor Records,rock band,Croydon,1970-01-01
Journey,Steve Perry,United States of America,rock music,Columbia Records,supergroup,San Francisco,1973-01-01
