col0,col1,col2,col3,col4
Hobart Hurricanes,Women's Big Bash League,Australia,Bellerive Oval,cricket
Chittagong Vikings,Bangladesh Premier League,Bangladesh,Zohur Ahmed Chowdhury Stadium,cricket
Delhi Daredevils,Indian Premier League,India,Arun Jaitley Stadium,cricket
Rajasthan Royals,Indian Premier League,India,Sawai Mansingh Stadium,cricket
Ahmedabad Rockets,Indian Cricket League,India,"Sardar Vallabhbhai Patel Stadium, Ahmedabad",cricket
Sunrisers Hyderabad,Indian Premier League,India,Rajiv Gandhi International Cricket Stadium,cricket
Kings XI Punjab,Indian Premier League,India,Punjab Cricket Association IS Bindra Stadium,cricket
Adelaide Strikers,Big Bash League,Australia,Adelaide Oval,cricket
Royal Challengers Bangalore,Indian Premier League,India,M. Chinnaswamy Stadium,cricket
Pune Warriors India,Indian Premier League,India,DY Patil Stadium,cricket
