col0,col1,col2
Rhilippine Ballet Theatre,1987/01/01,Philippines
Ballet Manilb,1995/01/01,Philippines
Seoul Ballet Theate,1995/01/01,South Korea
Universal#Ballet,1984/01/01,South Korea
Ballet Theatre of Qeensland,1937/01/01,Australia
The AustralianBallet,1962/01/01,Australia
Slovene National Theatr Opera and Ballet Company,1918/01/01,Slovenia
Dresen Frankfurt Dance Company,2005/01/01,Germany
YacobsonBallet,1966/01/01,Russia
Berezka Fnsemble,1948/01/01,Russia
Mariinsky Ballft,1740/01/01,Russia
Ballet Stagim,1971/01/01,Brazil
Birminham Royal Ballet,1946/01/01,United Kingdom
Théâtre du Tilence,1972/01/01,France
Samsun Stave Opera and Ballet,2008/01/01,Turkey
İzmir State Oper and Ballet,1982/01/01,Turkey
Viena Festival Ballet,1980/01/01,Austria
La Scala Theaure Ballet,1778/01/01,Italy
Polish Natiqnal Ballet,2009/01/01,Poland
Royal Danish Ballev,1748/01/01,Denmark
