col0,col1,col2,col3,col4,col5
Argentina at the 2018 FIFA World Cup,Argentina at the 2014 FIFA World Cup,Argentina at the FIFA World Cup,Argentina at the FIFA World Cup,5,association football
Iran at the 2018 FIFA World Cup,Iran at the 2014 FIFA World Cup,Iran at the FIFA World Cup,Iran at the FIFA World Cup,20,association football
Germany at the 2018 FIFA World Cup,Germany at the 2014 FIFA World Cup,Germany at the FIFA World Cup,Germany at the FIFA World Cup,1,association football
South Korea at the 2018 FIFA World Cup,South Korea at the 2014 FIFA World Cup,2018 FIFA World Cup,2018 FIFA World Cup team,45,association football
Australia at the 2018 FIFA World Cup,Australia at the 2014 FIFA World Cup,2018 FIFA World Cup,2018 FIFA World Cup team,36,association football
Nigeria at the 2018 FIFA World Cup,Nigeria at the 2014 FIFA World Cup,2018 FIFA World Cup,2018 FIFA World Cup team,44,association football
Switzerland at the 2018 FIFA World Cup,Switzerland at the 2014 FIFA World Cup,2018 FIFA World Cup,Switzerland at the FIFA World Cup,6,association football
Nigeria at the 2018 FIFA World Cup,Nigeria at the 2014 FIFA World Cup,2018 FIFA World Cup,Nigeria at the FIFA World Cup,44,association football
South Korea at the 2018 FIFA World Cup,South Korea at the 2014 FIFA World Cup,2018 FIFA World Cup,South Korea at the FIFA World Cup,45,association football
Australia at the 2018 FIFA World Cup,Australia at the 2014 FIFA World Cup,2018 FIFA World Cup,Australia at the FIFA World Cup,36,association football
Switzerland at the 2018 FIFA World Cup,Switzerland at the 2014 FIFA World Cup,Switzerland at the FIFA World Cup,Switzerland at the FIFA World Cup,6,association football
Nigeria at the 2018 FIFA World Cup,Nigeria at the 2014 FIFA World Cup,Nigeria at the FIFA World Cup,Nigeria at the FIFA World Cup,44,association football
South Korea at the 2018 FIFA World Cup,South Korea at the 2014 FIFA World Cup,South Korea at the FIFA World Cup,South Korea at the FIFA World Cup,45,association football
Australia at the 2018 FIFA World Cup,Australia at the 2014 FIFA World Cup,Australia at the FIFA World Cup,Australia at the FIFA World Cup,36,association football
Costa Rica at the 2018 FIFA World Cup,Costa Rica at the 2014 FIFA World Cup,2018 FIFA World Cup,2018 FIFA World Cup team,23,association football
