col0,col1,col2,col3,col4,col5
CHEOPS,Soyuz 2.1b,Swiss Space Office,rocket launch,2019-01-01,Airbus Defence and Space
Microvariability and Oscillations of Stars,Rokot,Canadian Space Agency,rocket launch,2003-06-30,Microsat Systems Canada Inc.
BeppoSAX,Atlas I,Italian Space Agency,rocket launch,1996-04-30,Alenia
Near Earth Object Surveillance Satellite,Polar Satellite Launch Vehicle,Canadian Space Agency,rocket launch,2013-02-25,David Florida Laboratory
Transiting Exoplanet Survey Satellite,Falcon 9 Full Thrust,National Aeronautics and Space Administration,rocket launch,2018-04-18,Orbital Sciences Corporation
Solar Radiation and Climate Experiment,Pegasus,National Aeronautics and Space Administration,rocket launch,2003-01-25,Orbital Sciences Corporation
EXOSAT,Delta 3000,European Space Agency,rocket launch,1983-05-26,Messerschmitt-Bölkow-Blohm
Wide-field Infrared Survey Explorer,Delta II,Jet Propulsion Laboratory,rocket launch,2009-12-14,Ball Aerospace & Technologies
Kepler,Delta II,National Aeronautics and Space Administration,rocket launch,2009-03-07,Ball Aerospace & Technologies
Infrared Space Observatory,Ariane 4,European Space Agency,rocket launch,1995-11-17,Aérospatiale
Fermi Gamma-ray Space Telescope,Delta II,National Aeronautics and Space Administration,rocket launch,2008-06-11,General Dynamics
Gaia,Soyuz 2.1b,European Space Agency,rocket launch,2013-12-19,Astrium
Solar and Heliospheric Observatory,Atlas II,National Aeronautics and Space Administration,rocket launch,1995-12-02,Astrium
Nuclear Spectroscopic Telescope Array,Pegasus,National Aeronautics and Space Administration,rocket launch,2012-06-13,Alliant Techsystems
HALCA,M-V,Institute of Space and Astronautical Science,rocket launch,1997-02-12,NEC
Hisaki (satellite),Epsilon,Japan Aerospace Exploration Agency,rocket launch,2013-09-14,NEC
TUGSAT-1,Polar Satellite Launch Vehicle,Graz University of Technology,rocket launch,2013-02-25,University of Toronto
Hipparcos,Ariane 4,European Space Agency,rocket launch,1989-08-08,Thales Alenia Space
