col0,col1,col2,col3,col4,col5
Quick Step-Davitamon-Latexco,2003-01-01,UCI Trade Team III,Belgium,Mapei-Quick Step-Latexco,road bicycle racing
Knauf,2007-01-01,UCI Trade Team III,Poland,Dynatek,road bicycle racing
Barloworld,2009-01-01,UCI Trade Team III,United Kingdom,Barloworld-Androni Giocattoli,road bicycle racing
Mercury Cycling Team,2002-01-01,UCI Trade Team III,United States of America,Mercury,road bicycle racing
Marco Polo Cycling-Donckers Koffie,2012-01-01,UCI Trade Team III,Ethiopia,Marco Polo,road bicycle racing
Successfulliving.com-Parkpre,2008-01-01,UCI Trade Team III,United States of America,Seasilver,road bicycle racing
Barloworld,2009-01-01,UCI Trade Team II,United Kingdom,Barloworld-Androni Giocattoli,road bicycle racing
Mercury Cycling Team,2002-01-01,professional cycling team,United States of America,Mercury,road bicycle racing
Knauf,2007-01-01,UCI Continental Team,Poland,Dynatek,road bicycle racing
Marco Polo Cycling-Donckers Koffie,2012-01-01,UCI Continental Team,Ethiopia,Marco Polo,road bicycle racing
Successfulliving.com-Parkpre,2008-01-01,UCI Continental Team,United States of America,Seasilver,road bicycle racing
Barloworld,2009-01-01,UCI Professional Continental Team,United Kingdom,Barloworld-Androni Giocattoli,road bicycle racing
Jittery Joe's,2008-01-01,UCI Trade Team III,United States of America,Jittery Joe's,road bicycle racing
