col0,col1,col2
SC Feyenoord,Sportcomplex Varkenoord,1908-01-01
VV Nieuweschoot,Sportcomplex De Greiden,1946-09-14
V.V. Oosterparkers,Sportpark Kardinge,1945-05-18
G.V. Groen Geel,Sportpark Corpus den Hoorn,1992-07-23
CSV Apeldoorn,Sportpark Orderbos,1946-06-01
FC Den Helder,De Streepjesberg,2001-07-01
RKVV Maliskamp,Sportpark Maliskamp,1934-06-23
SV Braakhuizen,Sportpark De Kievit,1941-05-21
Haarlem Kennemerland,Haarlem Stadion,2010-04-26
SV Watervogels,De Streepjesberg,1931-11-21
Vespo,Stadion Antonio Trenidat,1959-01-01
VV Haulerwijk,Sportpark De Hichte,1936-11-30
HS '88,Sportpark De Kalkwijck,1988-02-10
VV Pernis,Sportpark Pernis,1929-09-19
SV Nieuw Sloten,Sportpark Sloten,2004-01-01
Oranje Nassau Groningen,Sportpark Coendersborg,1918-04-30
VV Blauw Geel '15,Sportpark Coendersborg,1915-04-13
VV Sneek Wit Zwart,Sportpark VV Sneek Wit Zwart,1910-11-26
