col0,col1,col2,col3
RIKEN,1917-01-01,Japan,3000
Nomura Research Institute,1965-01-01,Japan,9000
Institute of Plant Industry,1921-01-01,Russia,100
Hubrecht Institute,1916-01-01,Netherlands,220
Scientific and Technical Centre for Building,1947-01-01,France,900
National Solar Observatory,1952-01-01,United States of America,150
University of New South Wales,1949-01-01,Australia,6500
Max Planck Institute for Biophysical Chemistry,1948-01-01,Germany,800
GSI Helmholtz Centre for Heavy Ion Research,1969-01-01,Germany,1350
Helmholtz Association of German Research Centres,2001-01-01,Germany,37148
German Historical Institute Paris,1958-11-21,France,40
Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa (Germany),1989-01-01,Germany,17
Federal Institute for Population Research,1973-02-12,Germany,38
Federal Waterways Engineering and Research Institute,1948-01-01,Germany,406
Bundesanstalt für Strassenwesen,1951-01-01,Germany,380
Federal Institute of Hydrology,1949-01-01,Germany,380
Federal Institute for Geosciences and Natural Resources,1958-11-26,Germany,786
Helmholtz Zentrum München,1960-05-31,Germany,2293
Internal Revenue Service,1862-07-01,United States of America,79890
New Zealand Forest Research Institute,1992-02-24,New Zealand,320
