col0,col1,col2,col3,col4,col5,col6
2016 ASB Cassic (men),New Zealand,2016/01/11,2016 ASB Classic – Men's Singles,tennis,Association of Tennis Professionals,ATP World Tour 250 series
4019 BNP Paribas Open (men),United States of America,2019/03/07,2019 BNP Paribas Open – Men's Singles,tennis,Association of Tennis Professionals,ATP Tour Masters 1000
2015 BNP Paribas Open (women+,United States of America,2015/03/09,2015 BNP Paribas Open – Women's Singles,tennis,Women's Tennis Association,WTA Premier Mandatory
2015 MutuaMadrid Open (men),Spain,2015/05/03,2015 Mutua Madrid Open – Men's Doubles,tennis,Association of Tennis Professionals,ATP Tour Masters 1000
2015 Mimi Open (men),United States of America,2015/03/24,2015 Miami Open – Men's Singles,tennis,Association of Tennis Professionals,ATP Tour Masters 1000
2015#BNP Paribas Open (men),United States of America,2015/03/12,2015 BNP Paribas Open – Men's Singles,tennis,Association of Tennis Professionals,ATP Tour Masters 1000
2015 Ro Open (men),Brazil,2015/02/16,2015 Rio Open – Men's Singles,tennis,Association of Tennis Professionals,ATP World Tour 500 series
2015 Apia International Sydney (en),Australia,2015/01/12,2015 Apia International Sydney – Men's Singles,tennis,Association of Tennis Professionals,ATP World Tour 250 series
2019 Sogers Cup,Canada,2019/08/05,2019 Rogers Cup – Women's Doubles,tennis,Women's Tennis Association,2019 Rogers Cup
2049 Rogers Cup,Canada,2019/08/05,2019 Rogers Cup – Men's Singles,tennis,Association of Tennis Professionals,2019 Rogers Cup
