col0,col1,col2,col3,col4
"Romanian Consulate General, Vršac",Serbia,Romania,Vršac,2005-01-01
Consulate General of France in Krakow,Poland,France,Kraków,1945-01-01
"Consulate General of the United States, Guangzhou",People's Republic of China,United States of America,Guangzhou,1843-01-01
Consulate General of Norway in Guangzhou,People's Republic of China,Norway,Guangzhou,2008-07-01
"Consulate General of the United States, Shanghai",People's Republic of China,United States of America,Shanghai,1844-01-01
"Polish Consulate General, Kaliningrad",Russia,Poland,Kaliningrad,1919-01-01
"Consulate General of the United States, Munich",Germany,United States of America,Munich,1950-01-01
"Royal Thai Consulate General, Chennai",India,Thailand,Chennai,2005-01-01
Consulate-General of Japan in Chennai,India,Japan,Chennai,1966-01-01
"Polish Consulate General, Chicago",United States of America,Poland,Illinois,1920-01-01
"Consulate General of the United States, Mumbai",India,United States of America,Mumbai,1838-01-01
Consulate-General of Ukraine in Saint Petersburg,Russia,Ukraine,Saint Petersburg,1998-01-01
